Start Date,KOSPI Index,SPX Index,CCMP Index,BBDXY Index,KOA Curncy,CL1 Comdty,BDIY Index,SOX Index,XAU Curncy,RBTA Comdty,GVSK10YR Index,USGG10YR Index,GTDEM10Y Govt,FDFD Index,VKOSPI Index,VIX Index
1980-01-02,0,105.76,148.17,0,0,0,0,0,559.5,0,0,10.502,0,0,0,0
1980-01-03,0,105.22,145.97,0,0,0,0,0,634,0,0,10.602,0,0,0,0
1980-01-04,100,106.52,148.02,0,0,0,0,0,588,0,0,10.662,0,0,0,0
1980-01-07,102.53,106.81,148.62,0,0,0,0,0,633.5,0,0,10.632,0,0,0,0
1980-01-08,105.28,108.95,150.68,0,0,0,0,0,610,0,0,10.572,0,0,0,0
1980-01-09,106.37,109.05,151.6,0,0,0,0,0,607.2,0,0,10.582,0,0,0,0
1980-01-10,106.87,109.89,153.12,0,0,0,0,0,602.85,0,0,10.512,0,0,0,0
1980-01-11,105.02,109.92,153.87,0,0,0,0,0,623,0,0,10.682,0,0,0,0
1980-01-14,102.08,110.38,154.4,0,0,0,0,0,660,0,0,10.702,0,0,0,0
1980-01-15,101.1,111.14,154.96,0,0,0,0,0,684,0,0,10.652,0,0,0,0
1980-01-16,101.65,111.05,155.99,0,0,0,0,0,760,0,0,10.652,0,0,0,0
1980-01-17,101.97,110.7,155.81,0,0,0,0,0,750,0,0,10.712,0,0,0,0
1980-01-18,101.13,111.07,156.14,0,0,0,0,0,835,0,0,10.822,0,0,0,0
1980-01-21,101.75,112.1,157.35,0,0,0,0,0,850,0,0,10.962,0,0,0,0
1980-01-22,101.64,111.51,156.92,0,0,0,0,0,737.5,0,0,10.852,0,0,0,0
1980-01-23,101.43,113.44,158.5,0,0,0,0,0,695,0,0,10.822,0,0,0,0
1980-01-24,100.7,113.7,159.24,0,0,0,0,0,717,0,0,11.012,0,0,0,0
1980-01-25,103.17,113.61,159.7,0,0,0,0,0,668,0,0,11.102,0,0,0,0
1980-01-28,101.87,114.85,160.7,0,0,0,0,0,624,0,0,11.152,0,0,0,0
1980-01-29,102.58,114.07,160.29,0,0,0,0,0,674.25,0,0,11.212,0,0,0,0
1980-01-30,104.65,115.2,161.3,0,0,0,0,0,691,0,0,11.162,0,0,0,0
1980-01-31,105.89,114.16,161.75,0,0,0,0,0,653,0,0,11.132,0,0,0,0
1980-02-01,104.48,115.12,162.3,0,0,0,0,0,676.5,0,0,11.292,0,0,0,0
1980-02-04,105,114.37,162.02,0,0,0,0,0,669.75,0,0,11.402,0,0,0,0
1980-02-05,104.45,114.66,162.2,0,0,0,0,0,682,0,0,11.732,0,0,0,0
1980-02-06,104.04,115.72,162.99,0,0,0,0,0,709,0,0,11.922,0,0,0,0
1980-02-07,104.71,116.28,163.77,0,0,0,0,0,699.25,0,0,11.712,0,0,0,0
1980-02-08,104.03,117.95,165.25,0,0,0,0,0,692,0,0,11.802,0,0,0,0
1980-02-11,103.76,117.12,164.46,0,0,0,0,0,710.5,0,0,12.012,0,0,0,0
1980-02-12,103.8,117.9,164.57,0,0,0,0,0,694.5,0,0,12.012,0,0,0,0
1980-02-13,104.02,118.44,164.98,0,0,0,0,0,696.75,0,0,11.862,0,0,0,0
1980-02-14,104.34,116.72,163.54,0,0,0,0,0,682,0,0,11.972,0,0,0,0
1980-02-15,104.9,115.41,162.56,0,0,0,0,0,667,0,0,12.202,0,0,0,0
1980-02-18,105.27,115.41,162.56,0,0,0,0,0,661.5,0,0,12.202,0,0,0,0
1980-02-19,105.1,114.6,161.06,0,0,0,0,0,652.25,0,0,12.852,0,0,0,0
1980-02-20,105.06,116.47,162.1,0,0,0,0,0,606,0,0,12.842,0,0,0,0
1980-02-21,104.61,115.28,161.31,0,0,0,0,0,665,0,0,13.222,0,0,0,0
1980-02-22,104.39,115.04,160.08,0,0,0,0,0,630,0,0,13.062,0,0,0,0
1980-02-25,104.32,113.33,157.97,0,0,0,0,0,616.5,0,0,13.272,0,0,0,0
1980-02-26,103.69,113.98,158.5,0,0,0,0,0,642.25,0,0,13.652,0,0,0,0
1980-02-27,103.5,112.38,157.73,0,0,0,0,0,636,0,0,13.462,0,0,0,0
1980-02-28,103.46,112.35,157.46,0,0,0,0,0,646,0,0,12.922,0,0,0,0
1980-02-29,103.74,113.66,158.03,0,0,0,0,0,637,0,0,12.722,0,0,0,0
1980-03-03,103.96,112.5,156.87,0,0,0,0,0,633.75,0,0,12.792,0,0,0,0
1980-03-04,103.85,112.78,155.39,0,0,0,0,0,631.25,0,0,12.912,0,0,0,0
1980-03-05,102.86,111.13,152.94,0,0,0,0,0,643.5,0,0,13.032,0,0,0,0
1980-03-06,102.76,108.65,148.64,0,0,0,0,0,626,0,0,13.132,0,0,0,0
1980-03-07,103.57,106.9,146.19,0,0,0,0,0,609,0,0,12.862,0,0,0,0
1980-03-10,103.89,106.51,143.75,0,0,0,0,0,585,0,0,12.632,0,0,0,0
1980-03-11,103.35,107.78,144.56,0,0,0,0,0,570.25,0,0,12.412,0,0,0,0
1980-03-12,103.13,106.87,144.63,0,0,0,0,0,585.7,0,0,12.622,0,0,0,0
1980-03-13,103.26,105.62,144.98,0,0,0,0,0,556.5,0,0,12.502,0,0,0,0
1980-03-14,103.08,105.43,144.44,0,0,0,0,0,523,0,0,12.522,0,0,0,0
1980-03-17,103.58,102.26,139.7,0,0,0,0,0,484,0,0,12.582,0,0,0,0
1980-03-18,103.41,104.1,138.92,0,0,0,0,0,481.5,0,0,12.402,0,0,0,0
1980-03-19,103.13,104.31,139.97,0,0,0,0,0,527,0,0,12.352,0,0,0,0
1980-03-20,104.68,103.12,139.64,0,0,0,0,0,561,0,0,12.622,0,0,0,0
1980-03-21,104.43,102.31,138.8,0,0,0,0,0,525,0,0,12.752,0,0,0,0
1980-03-24,107.09,99.28,134.61,0,0,0,0,0,558.25,0,0,13.172,0,0,0,0
1980-03-25,106.47,99.19,132.52,0,0,0,0,0,547.25,0,0,13.102,0,0,0,0
